scope,n_res,n,f1_mean,auc_mean,ap_mean,acc_mean,bacc_mean,prec_mean,rec_mean,jac_mean,f1_std,auc_std,ap_std,acc_std,bacc_std,prec_std,rec_std,jac_std
c.36,30000.0,23.0,0.30109212583023925,0.9023572364702764,0.26107649329446214,0.8937233344794432,0.7658975745973677,0.20640005125349742,0.6298105892442977,0.1819649952269357,0.10781938930694657,0.03398072302140561,0.17026324678822014,0.03533967636226136,0.09219429510480616,0.08499360500647583,0.21018269193317562,0.07844044197976077
b.45,5138.0,14.0,0.3613309004612306,0.8093995485858466,0.3359268694099295,0.7695646638074013,0.7098834524665526,0.2619091578237926,0.6408046009038826,0.22378258512526217,0.08600062316738709,0.05484180231527248,0.13111796998957803,0.09813383418159499,0.06196704249718782,0.06868533924413615,0.20489571391863703,0.06751389992831015
e.5,3442.0,4.0,0.0684918032786885,0.4523244004738165,0.05387402937842568,0.8057520435619687,0.4849504823510623,0.0470159583129783,0.12619047619047616,0.03589384471737408,0.04613789317662595,0.051511328794414404,0.02694008547610137,0.07773840180088845,0.012124810527993217,0.03168552971126457,0.08506135502418828,0.024201916033245997
c.122,4451.0,5.0,0.4894167617376041,0.9254395492188385,0.5718128497608171,0.8861556240628394,0.8110284072008129,0.3687786608203161,0.7382557680975996,0.3521287370657126,0.2561798087629676,0.062152885706188765,0.3723399469218805,0.049561908908222804,0.16634465521675554,0.19461858386406078,0.37878074125358174,0.20834918683540826
f.43,669.0,1.0,0.1658986175115207,0.724128073184677,0.1658519448495029,0.7294469357249627,0.6422241280731846,0.0978260869565217,0.5454545454545454,0.0904522613065326,,,,,,,,
d.117,20390.0,30.0,0.36996892390281,0.8682383100136478,0.3619190454764576,0.8829339736010794,0.7575607938935253,0.2758832455622206,0.6188289558854172,0.23680207071849202,0.14971637205793445,0.08472114636793317,0.20079322179480727,0.04084030225162165,0.10981199249032908,0.11681516842660301,0.24757224441633272,0.11158712654156855
d.31,2217.0,3.0,0.4103288425322324,0.9271902630945091,0.5093997946881413,0.8808556400364118,0.8439484996174006,0.2787012936553231,0.8043144564442738,0.2591715305379501,0.055642957009399564,0.011222491329140046,0.1043790752675592,0.06118208513254308,0.007168843870111823,0.05805799751465776,0.05339144612890136,0.044983178828678694
d.167,3801.0,15.0,0.5008815728232604,0.9103738913301288,0.6574656189211631,0.7901498662156115,0.8315589920966124,0.35580214876079735,0.8904448618575426,0.3466398901154864,0.15662756562951763,0.09118629977799332,0.2614781708728056,0.04881714810484409,0.08666494871669059,0.12948653490725143,0.15847542469480283,0.12898251486403198
e.7,12054.0,12.0,0.11254361756677585,0.7413576906681812,0.11937603752743554,0.9078331595399832,0.5430593717212775,0.11669464521800448,0.14207512920545515,0.06213251234471373,0.09437142352699748,0.03197553091512327,0.07043996983248496,0.043087716231375396,0.06607000243496329,0.08600005254014852,0.15378849236469727,0.054753538560375965
c.109,9946.0,10.0,0.3202391017048615,0.8903256308977451,0.294348039562103,0.9158778267192431,0.7512954692884972,0.22633914336517127,0.5768311428173571,0.19982849309135958,0.15170613391857402,0.060199575530710106,0.22594446356099238,0.02506202100967603,0.10190548610431535,0.11836855952791722,0.2170334105937842,0.11324618070049183
c.3,3440.0,7.0,0.5453308754085142,0.920329889536655,0.593838881960877,0.8273024602461264,0.8366690578928315,0.4021102981448289,0.8577039538875965,0.37842263073177473,0.07994550927380387,0.028237735013601484,0.16024765345164219,0.0559536655267881,0.03730751105832845,0.0713975141954926,0.10052258827495898,0.07516248843120872
b.62,330.0,1.0,0.3424657534246575,0.8727530747398298,0.424836313914574,0.7090909090909091,0.7924550614947966,0.211864406779661,0.8928571428571429,0.2066115702479339,,,,,,,,
c.81,6022.0,6.0,0.43485744825952,0.9113399019158752,0.4388271333881761,0.8943895284408261,0.7834722138258751,0.3278549829668247,0.6581810281362539,0.2826610304978555,0.11021237735278144,0.041595077647952575,0.1577736995400202,0.025680406122130846,0.07193968491951067,0.09315126950436768,0.1468811225332703,0.08222874060186777
c.16,9029.0,12.0,0.19996643878600376,0.7826778429999689,0.18829313164868947,0.9062733280961837,0.6094717679867929,0.15578400498327258,0.28594407429745305,0.11790551925566078,0.1408177948674044,0.06276440268125516,0.16801232071914765,0.030072430413655264,0.09355314241218586,0.10260045719714414,0.21799680142455707,0.09545323384496508
b.68,2438.0,6.0,0.401417626819295,0.8833844207507462,0.5477309830320618,0.813249353793041,0.7638234734314832,0.29972858938639974,0.708315192151399,0.2537984205461213,0.08266705561557898,0.037073056266182555,0.2347438694178723,0.07628567826155035,0.05852580885547872,0.07982399313917295,0.20686382556646277,0.06248785341098298
